id,generation,evaluation_score,this_image_name,init_image_name,image_strengs,seed,steps,prompt_length,cfg_scale,prompt
11,2,100,generated_image_59.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.16,6373,100,10,6.6,"['adventure', 'toys', 'slide', 'play', 'scenery', 'park', 'safe', 'activities', 'environment', 'children']"
12,2,100,generated_image_60.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.14,4518,92,14,7.9,"['enjoy', 'fun', 'environment', 'nature', 'happy', 'greenery', 'smiles', 'play', 'bright', 'lush', 'swing', 'scenery', 'equipment', 'outdoor']"
13,2,0,generated_image_61.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.2,130,95,11,6.1,"['outdoor', 'play', 'grass', 'park', 'climbing', 'happy', 'activities', 'adventure', 'scenery', 'swing', 'playground']"
14,2,0,generated_image_62.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.26,5967,84,13,11.9,"['nature', 'scenery', 'playground', 'park', 'relaxing', 'trees', 'fun', 'climbing', 'greenery', 'lush', 'equipment', 'family', 'bright']"
15,2,0,generated_image_63.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.3,2976,79,15,9.0,"['playground', 'fun', 'play', 'grass', 'bright', 'adventure', 'safe', 'peaceful', 'swing', 'happy', 'slide', 'forest', 'lush', 'children', 'kids']"
16,2,0,generated_image_64.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.2,8434,82,10,10.8,"['slide', 'climbing', 'play', 'children', 'safe', 'scenery', 'kids', 'enjoy', 'relaxing', 'smiles']"
17,3,0,generated_image_65.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.16,9949,88,14,9.8,"['park', 'happy', 'relaxing', 'play', 'forest', 'lush', 'environment', 'smiles', 'toys', 'grass', 'greenery', 'nature', 'outdoor', 'kids']"
18,3,0,generated_image_66.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.13,1043,82,11,11.2,"['scenery', 'greenery', 'playground', 'safe', 'environment', 'activities', 'relaxing', 'equipment', 'happy', 'play', 'trees']"
19,3,0,generated_image_67.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.16,6373,100,10,6.6,"['adventure', 'toys', 'slide', 'play', 'scenery', 'park', 'safe', 'activities', 'environment', 'children']"
20,3,0,generated_image_68.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.14,4518,92,14,7.9,"['enjoy', 'fun', 'environment', 'nature', 'happy', 'greenery', 'smiles', 'play', 'bright', 'lush', 'swing', 'scenery', 'equipment', 'outdoor']"
21,3,0,generated_image_69.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.2,130,95,11,6.1,"['outdoor', 'play', 'grass', 'park', 'climbing', 'happy', 'activities', 'adventure', 'scenery', 'swing', 'playground']"
22,3,0,generated_image_70.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.26,5967,84,13,11.9,"['nature', 'scenery', 'playground', 'park', 'relaxing', 'trees', 'fun', 'climbing', 'greenery', 'lush', 'equipment', 'family', 'bright']"
23,3,0,generated_image_71.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.3,2976,79,15,9.0,"['playground', 'fun', 'play', 'grass', 'bright', 'adventure', 'safe', 'peaceful', 'swing', 'happy', 'slide', 'forest', 'lush', 'children', 'kids']"
24,3,0,generated_image_72.jpg,D:/downloads/develop/SD_IGA_system/sample_images/inumemachi_2.JPG,0.2,8434,82,10,10.8,"['slide', 'climbing', 'play', 'children', 'safe', 'scenery', 'kids', 'enjoy', 'relaxing', 'smiles']"
